episod,score,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
63,11118.2340226,0.224898651186,-1.28398643823,0.0,2.35022655389,6.23882725235,0.0,0.338056974386,-0.656536164705,-14.8632103123,-1.10768750017,-27.0820228909,0.0,833.152690367,57.7965635073,575.459066212,622.760925989
64,11134.9958611,0.635027126779,-1.47852298949,0.0,0.919761600375,0.234059323602,0.0,0.48539865605,-1.49697088562,-14.2983795195,-4.90585318764,-26.5987744703,0.0,815.015067131,65.9225136002,582.31881339,587.745245032
65,11214.7991872,0.593650271092,-1.44281051184,0.0,1.21405973011,0.260754583199,0.0,0.498105977737,-1.37129009876,-14.1523454013,-4.16120225073,-27.0212563202,0.0,833.391568299,53.2342052912,588.980953082,608.733439799
66,11097.9763086,0.231130370883,-1.47589526848,0.0,1.27139151112,0.46368194076,0.0,0.319647139272,-1.47236028555,-14.0938851477,-4.10200147474,-27.1450087505,0.0,840.36313781,47.9478220709,596.58125143,620.775357428
67,11438.8546354,-1.09991059739,-1.06787314977,0.0,2.73860672512,5.10429543166,0.0,-0.577462347434,-0.277956127531,-15.6515254043,0.335212290371,-25.4605300503,0.0,767.055802026,95.5025306429,575.841582806,610.317597494
68,10866.0116768,-1.84265970456,-0.0944276777134,0.0,2.21056467557,4.76745799046,0.0,-0.386808473515,1.90929708787,-15.2292674646,-0.813963275208,-26.4069707908,0.0,887.773127775,13.5991409488,644.473930396,686.137686061
69,10888.4296589,5.27949052131,0.240433528778,0.0,3.8501994107,4.24272649628,0.0,5.20889539965,-0.631673474132,-15.6824440973,-9.12229419677,-28.7334979551,0.0,898.472085071,1.53582250302,777.933266099,675.002058408
70,10679.6880379,-1.63793799492,0.0319792530413,0.0,0.116306072474,4.84195632095,0.0,-0.869369296269,1.03730631406,-14.9909996393,5.43721935154,-28.189345207,0.0,880.890893884,15.399228122,643.829927857,701.468539239
71,10524.2569926,1.45608793251,-0.836818133883,0.0,1.62350007919,6.17446075129,0.0,1.54791554638,-0.63998766511,-14.0983693909,-4.25574711118,-28.0573761681,0.0,872.039457379,21.1703092571,654.614086387,656.949092693
72,10687.2981275,4.63854854865,0.294484918619,0.0,4.58700604693,5.25963542371,0.0,4.74674453274,-1.4859936316,-13.7309923485,-6.22931345817,-28.7280030393,0.0,898.309986265,1.09095297943,779.077439681,738.961420298
73,10308.031698,-1.92372717224,0.159158652992,0.0,6.0168004023,0.0776011175159,0.0,-1.64377197175,1.10908554941,-16.0242774873,4.73761227198,-28.2368217812,0.0,887.438149546,10.7283079686,675.358792495,738.120831053
74,10995.9758706,-1.91378062142,-0.570292045776,0.0,5.72082772498,1.27091618159,0.0,-1.13650570774,0.281931006665,-17.3286352072,4.09151993708,-28.4387284557,0.0,896.333803004,2.95588223309,718.133767672,773.912702634
75,10851.7233112,4.48230960299,-0.828456661349,0.0,4.72990680601,5.89679538736,0.0,3.25538566532,-1.21617307648,-15.2965929903,-7.86891407084,-28.7152986951,0.0,899.306720688,0.760767231594,811.023554971,781.687977443
76,10340.5187008,4.66841020242,-0.526200093866,0.0,4.7297475693,6.12496153648,0.0,3.4637909223,-0.702129079519,-14.8220342543,-7.8673163741,-28.7223348387,0.0,899.51653833,0.288329249479,801.140137099,774.590890484
77,10222.2929807,-3.20130844268,0.261520369598,0.0,1.34765236844,5.31987513837,0.0,-3.90027593559,0.902694784325,-14.5405460989,2.38211311005,-22.8161141949,0.0,718.493031493,89.2073310229,628.717355534,591.099957322
78,10408.7211323,5.5488204255,-1.20717742389,0.0,2.85065246571,4.31422756089,0.0,5.05500327655,-0.442901158562,-15.0107426514,-10.0829243339,-28.7938661824,0.0,899.366657158,0.836627241902,834.704482049,737.795820367
79,10278.2697276,-1.00821384544,-0.61035383111,0.0,5.5224321149,5.36674676128,0.0,0.880629248735,-0.057645627793,-14.2970387869,3.91520679592,-28.199940472,0.0,882.940963661,11.321938941,668.921797032,716.550539665
80,10529.1032086,-5.82909445392,-1.01884494365,0.0,1.64326829911,6.12414154416,0.0,-5.0949055008,-0.800023509084,-15.573848205,1.22378916678,-27.8385110665,0.0,859.905940691,19.1099126142,765.383711334,628.167320296
81,10864.3116384,-5.89086890176,-0.605393602458,0.0,2.62226571811,2.484209117,0.0,-2.25583088085,-0.507053996245,-13.3126887565,-3.78418216342,-27.8745250425,0.0,891.868408827,5.85109936754,767.953622136,703.379138638
82,10806.2657435,-1.6728229075,-0.804899914919,0.0,1.71872102008,1.96519882819,0.0,-2.02567186885,-0.398667632042,-14.1229489853,-3.31280532642,-23.3628612228,0.0,816.078712382,51.7633712134,629.808992958,624.357973322
